text,date,location,polarity,subjectivity,classification
this is wicked. share this because twitter doesn't want you to.,Wed Jun 30 09:57:25 +0000 2021,Scotland,0.0,0.0,Neutral
Isn’t this a strange disconnect Since when does a celebrated ‘vaccine’ only provide “protection against symptoms”? No much of…,Wed Jun 30 09:57:26 +0000 2021,"Nottingham, England",0.049999999999999996,0.525,Positive
My 16yo son had his first Pfizer dose last week. We've all managed to avoid infection since the start of the pandemic.,Wed Jun 30 09:57:26 +0000 2021,UK,0.125,0.19999999999999998,Positive
Hunt announced 134.8m doses of vaccines last year.  With the 10m extra Pfizer that's 144.8 million.  Whe…,Wed Jun 30 09:57:31 +0000 2021,"Sydney, New South Wales",0.0,0.08333333333333334,Neutral
Was going by this thread amongst others. Moderna not approved in kids yet here (and tiny deliveries a…,Wed Jun 30 09:57:32 +0000 2021,London,0.0,0.5,Neutral
1st &amp; 2nd dose Pfizer jabs are available for those aged under 40 ONLY at Chevington Close in BuryStEdmunds today and tomorro…,Wed Jun 30 09:57:36 +0000 2021,"Lakenheath, England",0.07500000000000001,0.45,Positive
My mum is in the same position as you as she had a kidney transplant and she also had the Pfizer vaccin…,Wed Jun 30 09:57:43 +0000 2021,"Tottenham, London",0.0,0.125,Neutral
🛍️ GrabAJab whilst doing your weekend shop in Camborne. ,,,,,
If you're 18 or over and haven't yet been vaccinated," yo…""",Fri Jul 02 09:10:00 +0000 2021,"Cornwall, UK",0.0,0.0
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exactly…",Fri Jul 02 09:10:10 +0000 2021,"South West, England",-0.05,0.7,Negative
Calling all Manchester residents!,,,,,
Check out our walk in vaccination clinics taking place this weekend 👇,,,,,
"We have lots o…""",Fri Jul 02 09:10:31 +0000 2021,"Manchester, England",0.0,0.0,Neutral
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exactly…",Fri Jul 02 09:10:34 +0000 2021,"Cheltenham, England",-0.05,0.7,Negative
Calling anyone aged 18 &amp; over – new walk-in vaccination sessions available THIS WEEKEND for your PFIZER JAB 👇👇👇Prefer a book…,Fri Jul 02 09:10:44 +0000 2021,Cambridgeshire,0.14545454545454548,0.41818181818181815,Positive
The vaccine for 12-15yos was approved by the MHRA almost a month ago now. U.K covid rates are soaring and schools don’t…,Fri Jul 02 09:10:49 +0000 2021,Near Scotland,0.0,0.0,Neutral
"He is well past redemption &amp; forgiveness &amp; NO, I am not going to apologise to his Pentecostal Flock..",Fri Jul 02 09:10:52 +0000 2021,"Sydney, New South Wales",-0.25,0.25,Negative
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exactly…",Fri Jul 02 09:10:54 +0000 2021,United Kingdom,-0.05,0.7,Negative
A study in  suggests that breakthrough SARS-CoV-2 infections can be disproportionately caused by varian…,Tue Jun 29 07:18:55 +0000 2021,London,0.0,0.0,Neutral
Alternating doses of the Oxford/AstraZeneca and Pfizer vaccines generate robust immune responses against COVID-19.,,,,,
"The N…""",Tue Jun 29 07:19:08 +0000 2021,"Staffordshire, England",0.0,0.0,Neutral
"Comparing Oxford/AZ to Pfizer/BioNTech consistent across variants -- BOTH are generating broad Ab responses, and really…",Tue Jun 29 07:19:12 +0000 2021,"Oxford, England",0.15625,0.28125,Positive
Is that all ???😠😠😠😠😠,Tue Jun 29 07:19:20 +0000 2021,Nottinghamshire,0.0,0.0,Neutral
New from me -- The US medicines regulator has updated the product information for Pfizer’s COVID-19 vaccine to incl…,Tue Jun 29 07:19:31 +0000 2021,"Sydney, New South Wales",0.13636363636363635,0.45454545454545453,Positive
going to get vaccinated today. i think I'll go with pfizer. ,,,,,
"i have options to choose from even being a visa holder.""",Tue Jun 29 07:19:46 +0000 2021,"Leeds, England",0.0,0.0,Neutral
Public Health England data shows Pfizer-BioNTech vaccine is 96% and Oxford-AstraZeneca vaccine is 92% effective against hosp…,Tue Jun 29 07:19:47 +0000 2021,"Bolton, England",0.3,0.43333333333333335,Positive
It’s also not true to say this ‘goes against the advice of ATAGI’. Yes the group says Pfizer is preferred for over 60s. B…,Tue Jun 29 07:19:47 +0000 2021,New South Wales,-0.175,0.65,Negative
Apologies for not having read full paper yet but does this preex…,Fri Jul 02 08:53:01 +0000 2021,"Cheltenham, England",0.35,0.55,Positive
"1,403 💉fatal events reported to MHRA in UK🇬🇧",,,,,
ASTRAZENECA,,,,,
Reactions 762,706,,,,
Deaths 936 (+32),,,,,
"Blood clot death 70 (+2)…""",Fri Jul 02 08:53:10 +0000 2021,"North West, England",0.0,0.0,Neutral
My first jab was AZ. Just checked the card for the batch no. and they didn't put it on there. 2nd dose is due next…,Fri Jul 02 08:53:20 +0000 2021,"Leeds, England",0.041666666666666664,0.23611111111111108,Positive
YABBA JABBA TWO!,,,,,
Pfizer  AND Astra Zeneca Walk-in Covid19 Vaccination Clinic,,,,,
"Selhurst Park Stadium  …""",Fri Jul 02 08:53:21 +0000 2021,London,0.0,0.0,Neutral
Pfizer board member is also president and CEO of Reuters,,,,,
"... and Reuters checks out the online ‘facts’ about Pfizer's vaccin…""",Fri Jul 02 08:53:25 +0000 2021,United Kingdom,0.0,0.0,Neutral
"Pfizer walk-ins at Harborne Medical Practice today, tomorrow and Saturday. Between 9am and 1pm then 2pm and 4.30pm.",Fri Jul 02 08:53:28 +0000 2021,UK,0.0,0.0,Neutral
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exactly…",Fri Jul 02 08:53:45 +0000 2021,United Kingdom,-0.05,0.7,Negative
Welcome to Privilege and Entitlement day .Spokesperson and Ambassador Jane Norman has stepped up to the plate to defend her…,Fri Jul 02 08:53:53 +0000 2021,East Nowra New South Wales,0.8,0.9,Positive
And yet there is NO fucking emergency for 5 to 11 year olds you fucking psychos.,Fri Jul 02 09:10:59 +0000 2021,UK,-0.15,0.8,Negative
Ten days ago Israel sent 90k doses of the Pfizer 'vaccine' to the Palestinian Authority. The PA rejected as they were about…,Fri Jul 02 09:11:04 +0000 2021,United Kingdom,0.0,0.0,Neutral
"👍 Good news! As well as this weekend, we are now able to offer Pfizer vaccination walk-ins today until 5pm.",,,,,
"Just h…""",Fri Jul 02 09:11:14 +0000 2021,"Ormskirk, Lancashire, UK",0.6875,0.6125,Positive
"The Pfizer vaccine is chilled, made in Germany and only consumed by Australians aged 40 to 60. It's basically Kraftwerk. 😬",Fri Jul 02 09:11:16 +0000 2021,"Newcastle, New South Wales",-0.05,0.7,Negative
"18 or over? Walk-in Pfizer vaccinations this Saturday and Sunday 9am-3pm at Chesterton Bowls Club, Logan's Way, Cam…",Fri Jul 02 09:11:19 +0000 2021,"Cambridge, UK",0.0,0.0,Neutral
What would happen if   and  gave up their intellectual property rights tomorrow and agr…,Fri Jul 02 09:11:37 +0000 2021,United Kingdom,0.3,0.4,Positive
"18 or over? Walk-in Pfizer vaccinations this Saturday and Sunday 9am-3pm at Chesterton Bowls Club, Logan's Way, Cambridge. No…",Fri Jul 02 09:11:46 +0000 2021,"Cambridge, England",0.0,0.0,Neutral
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exactly…",Fri Jul 02 09:11:49 +0000 2021,United Kingdom,-0.05,0.7,Negative
"Vaccines are the new God,Pfizer akbar",Fri Jul 02 08:49:00 +0000 2021,"Newham, London",0.13636363636363635,0.45454545454545453,Positive
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exac…",Fri Jul 02 08:49:05 +0000 2021,London,-0.05,0.7,Negative
💉 New Pfizer drop-in session for ages 18-39 who need a first dose. ,,,,,
🕙 Sunday, July 4th, 10am-6pm," Bay Field Hospital Mas…""",Fri Jul 02 08:49:08 +0000 2021,Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿
Is there a minimum time between Pfizer doses you will be enforcing? That would help people work out whether t…,Fri Jul 02 08:49:21 +0000 2021,"London, England",0.0,0.0,Neutral
Can I ask a stupid question?   Has anyone from the government gone back to Pfizer to request a faster supply?  How abou…,Fri Jul 02 08:49:27 +0000 2021,East Nowra New South Wales,-0.39999999999999997,0.5,Negative
That’s one big sticker,Fri Jul 02 08:49:38 +0000 2021,"Sydney, New South Wales",0.0,0.1,Neutral
So many discrepancies as opposed to reality …. That’s Scott Morrison ahead of the Q at the bottom of the pile….. un…,Fri Jul 02 08:49:46 +0000 2021,"Sydney, New South Wales",0.5,0.5,Positive
As an oldie I reckon I could find a smack or ice hit more easily than a Pfizer or Moderna vaccine injectio…,Fri Jul 02 08:49:49 +0000 2021,Down Under,0.4666666666666667,0.6666666666666667,Positive
1st AZ and 2nd Pfizer is supposed to be as good or better than 2 of either. Have you tried asking for that if no AZ…,Fri Jul 02 08:54:08 +0000 2021,"Sydney, New South Wales",0.39999999999999997,0.3666666666666667,Positive
Port Glasgow Town Hall will host a drop in vaccination centre Sunday 4th July 9am- 3pm. You can attend if ,,,,,
"⚫️you are a…""",Fri Jul 02 08:54:08 +0000 2021,Scotland,0.0,0.0,Neutral
Please investigate and question  there are 7 people on here that had very nasty side effects lasting wee…,Fri Jul 02 08:54:09 +0000 2021,London,-0.5,0.5,Negative
A couple of weeks old now ... but a similar trend across the world ...,,,,,
Australia has had 1 Covid death in 2021," yet 300…""",Fri Jul 02 08:54:24 +0000 2021,UK,0.05,0.30000000000000004
A couple of weeks old now ... but a similar trend across the world ...,,,,,
Australia has had 1 Covid death in 2021," yet 300…""",Fri Jul 02 08:54:32 +0000 2021,"North West, England",0.05,0.30000000000000004
Final trial results confirm that CureVac’s coronavirus vaccine is far less protective than the Moderna and Pfizer-BioNTech vac…,Fri Jul 02 08:54:44 +0000 2021,"Point Clear, England",-0.022222222222222216,0.688888888888889,Negative
"Please spread the word! We're holding a walk-in vaccination clinic TODAY at the Brighton Racecourse, for FIRST DOSE Pfize…",Fri Jul 02 08:54:52 +0000 2021,"Brighton, England",0.25,0.3333333333333333,Positive
Palaszczuk absolutely earned that burn today.,Wed Jun 30 09:37:08 +0000 2021,"Horney Common, England",0.2,0.9,Positive
"After reading all this, I want so many people to end up in jail. Her parents included.",Wed Jun 30 09:37:13 +0000 2021,"England, United Kingdom",0.2,0.25,Positive
This brilliant skit perfectly illustrates the epic fraud which has been perpetrated on humanity with the unlicensed experimenta…,Wed Jun 30 09:37:18 +0000 2021,"Scotland, UK",0.6666666666666666,0.7999999999999999,Positive
***Please *** ,,,,,
If you, or anyone you know is over 18 and haven't had a first dose of the covid vaccine yet," please vis…""",Wed Jun 30 09:37:33 +0000 2021,"Oldham, England",0.25
We’re going to be getting Pfizer boosters in this house. 🧪,Wed Jun 30 09:37:37 +0000 2021,london 🇬🇧,0.0,0.0,Neutral
"GrabAJab at the Doddington Vaccination Centre (Doddington Hospital) walk-in Covid-19 vaccination clinic this Friday, 2…",Wed Jun 30 09:37:38 +0000 2021,Cambridgeshire England,0.0,0.0,Neutral
What a prick. 🦁🦁🦁,,,,,
"Pfizer PfeelingGood Pfantastic PfiveG PfreeLionsOnTheShirt""",Wed Jun 30 09:37:41 +0000 2021,London,0.0,0.0,Neutral
12-year-old Maddie was enrolled in the Pfizer COVID-19 vaccine clinical trial. ,,,,,
She's now in a wheelchair, has an NG tube,"…""",Wed Jun 30 09:37:41 +0000 2021,United Kingdom,0.0
"Last day of the  CovidVaccine event today. Open now till 8pm, the process is quick and easy and staff will be on…",Mon Jun 28 07:40:59 +0000 2021,"London, England",0.19166666666666665,0.475,Positive
"Just got second dose of Pfizer at Science Museum in London, they’re doing them for anyone who had their first jab 21+ days…",Mon Jun 28 07:41:05 +0000 2021,London,0.125,0.16666666666666666,Positive
Finally got my appointment for Pfizer.  Getting the jab on 4 August.  I live in a hots…,Mon Jun 28 07:41:09 +0000 2021,"Sydney, New South Wales",0.06818181818181818,0.75,Positive
"Last day of the  CovidVaccine event today. Open now till 8pm, the process is quick and easy and staff will be on…",Mon Jun 28 07:41:18 +0000 2021,London,0.19166666666666665,0.475,Positive
"In case you have not seen it.  Well reasoned, eloquent.",,,,,
"Michael Yeadon Interview - Former Pfizer VP Speaks Out On Dangers…""",Mon Jun 28 07:41:45 +0000 2021,"England, United Kingdom",0.0,0.0,Neutral
"Those who have been infected by “one or more of these endemic, common-cold producing coronaviruses in the past, have a lo…",Mon Jun 28 07:41:47 +0000 2021,"England, United Kingdom",0.125,0.375,Positive
"In case you have not seen it.  Well reasoned, eloquent.",,,,,
"Michael Yeadon Interview - Former Pfizer VP Speaks Out On Dangers…""",Mon Jun 28 07:41:53 +0000 2021,UK,0.0,0.0,Neutral
"In exclusive The Defender interview, 18-year-old Isaiah Harris + his father described how Isaiah had to be hospitalize…",Mon Jun 28 07:38:59 +0000 2021,"Sydney, New South Wales",0.0,0.0,Neutral
But what r u doing about vulnerable kids in schools? Herd immunity? Do we not deserve more care than…,Mon Jun 28 07:39:12 +0000 2021,"Carlisle, England",0.0,0.5,Neutral
"Last day of the  CovidVaccine event today. Open now till 8pm, the process is quick and easy and staff will be on…",Mon Jun 28 07:39:30 +0000 2021,London,0.19166666666666665,0.475,Positive
"Probably Pfizer, good news I'm same age as you not healthy but have ha…",Mon Jun 28 07:39:33 +0000 2021,"Newcastle, New South Wales",0.15,0.4083333333333334,Positive
"Last day of the  CovidVaccine event today. Open now till 8pm, the process is quick and easy and staff will be on…",Mon Jun 28 07:39:34 +0000 2021,"London, England",0.19166666666666665,0.475,Positive
"I like David Buick for his consistent support for Brexit, but on his financia…",Mon Jun 28 07:39:39 +0000 2021,"Kent Coast, SouthEast England",0.25,0.25,Positive
"In case you have not seen it.  Well reasoned, eloquent.",,,,,
"Michael Yeadon Interview - Former Pfizer VP Speaks Out On Dangers…""",Mon Jun 28 07:39:49 +0000 2021,worcestershire UK,0.0,0.0,Neutral
"Given the 3 month AZ v’s 3 week Pfizer 1st to 2nd shot, surely we must be rapidly approaching the point where full vacc…",Fri Jul 02 09:27:11 +0000 2021,New South Wales,0.2125,0.3597222222222222,Positive
"This proposed Israel / U.K. swap of Pfizer doses makes eminent sense, and is a great example of mutually beneficial cooperat…",Fri Jul 02 09:27:12 +0000 2021,"England, United Kingdom",0.8,0.75,Positive
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exactly…",Fri Jul 02 09:27:23 +0000 2021,"East, England",-0.05,0.7,Negative
"This Saturday, you can GrabAJab at a pop-up vaccination clinic at Hillsborough Stadium.",,,,,
"👉 Available for anyone 18 or…""",Fri Jul 02 09:27:38 +0000 2021,"Sheffield, England",0.4,0.4,Positive
"Covid19 vaccination walk-in clinic, Sunday morning (4 July) at Littleborough Sports Centre, 9-11am. 1st dose…",Fri Jul 02 09:27:41 +0000 2021,"Greater Manchester, UK",0.0,0.0,Neutral
Heart Inflammation Linked to COVID Vaccines in Study of U.S. Military Department of Defense Confirms | researchers described…,Fri Jul 02 09:27:43 +0000 2021,London,-0.1,0.1,Negative
we will take!!!,Fri Jul 02 09:27:53 +0000 2021,"Sydney, New South Wales",0.0,0.0,Neutral
Ten days ago Israel sent 90k doses of the Pfizer 'vaccine' to the Palestinian Authority. The PA rejected as they were about…,Fri Jul 02 08:56:14 +0000 2021,Hertfordshire,0.0,0.0,Neutral
"I would say, Pfizer for 12-17yrs olds is not an option, given 2 doses for 18-40yrs olds prevents more…",Fri Jul 02 08:56:28 +0000 2021,"Poole, UK",0.0,0.0,Neutral
Because there's a huge incentive for another bug to be released,Fri Jul 02 08:56:30 +0000 2021,London,0.4000000000000001,0.9,Positive
Calling all Manchester residents!,,,,,
Check out our walk in vaccination clinics taking place this weekend 👇,,,,,
"We have lots o…""",Fri Jul 02 08:56:33 +0000 2021,Manchester,0.0,0.0,Neutral
"From Monday July 5th onwards, we will be offering first vaccinations, and second doses (at 8 weeks) of Pfizer, to people aged b…",Fri Jul 02 08:56:39 +0000 2021,Lanarkshire Scotland,0.049999999999999996,0.24444444444444446,Positive
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exactly…",Fri Jul 02 08:56:42 +0000 2021,"USA, UK & Portugal",-0.05,0.7,Negative
"Yeah, I think I knew that, but can I ask to start again with Pfizer?",Fri Jul 02 08:56:54 +0000 2021,"Leeds, England",0.0,0.0,Neutral
NB. the Russian Sputnik V is a conventional vaccine it is NOT mRNA gene therapy like the Pfizer Moderna AstraZeneca…,Thu Jul 01 09:25:05 +0000 2021,"Lydbrook, Gloucestershire UK",-0.07142857142857142,0.17857142857142858,Negative
"Just spoke to friends of mine here in Los Angeles, a cis married couple, both Pfizer vxx’d. He went to a bar last week w fri…",Thu Jul 01 09:25:06 +0000 2021,"Loughborough, United Kingdom",0.125,0.15833333333333333,Positive
Malaysian Govt reconsidering its previous decision to administer Pfizer to adolescents,,,,,
"This follows reports of incidents…""",Thu Jul 01 09:25:11 +0000 2021,England,-0.16666666666666666,0.16666666666666666,Negative
"Yes, UK was quick to buy vaccines. Pfizer isn’t the ‘European’ vaccine. AZ isn’t the ‘British’ vaccine. Both developed by int…",Thu Jul 01 09:25:24 +0000 2021,London,0.10833333333333334,0.2,Positive
We are outside of  Darlaston with Vaccination Bus offering Pfizer. Come along  …,Thu Jul 01 09:25:25 +0000 2021,"Walsall, England",0.0,0.05,Neutral
I suspect that the peri- and myocarditis will be tracked to microcoagulopathy in cardiac vessels due to spike protein effec…,Thu Jul 01 09:25:50 +0000 2021,Hertfordshire,-0.0875,0.1875,Negative
"They do walk-ins but recommend to pre-book, it's a little busy. It's the last day of a vaccination drive and these…",Mon Jun 28 07:52:04 +0000 2021,"London, UK",-0.029166666666666664,0.2888888888888889,Negative
TODAY Emirates Stadium is open until 8pm for the last day of their Pfizer vaccine event. ,,,,,
"💉 First dose Pfizer vaccine for…""",Mon Jun 28 07:52:10 +0000 2021,"London, England",0.08333333333333333,0.3,Positive
"600,000 Pfizer vaccines promised for Australia for July 😷 Whoopdishit! That's only another 300,000 people fully vaccinated…",Mon Jun 28 07:52:32 +0000 2021,"Sydney, New South Wales",0.0,1.0,Neutral
TODAY Emirates Stadium is open until 8pm for the last day of their Pfizer vaccine event. ,,,,,
"💉 First dose Pfizer vaccine for…""",Mon Jun 28 07:52:34 +0000 2021,Berkshire  UK,0.08333333333333333,0.3,Positive
Next Pfizer sessions at Rye Tilling Green Centre for all those over 18,,,,,
Tue 29 June 1830-2030,,,,,
Wed 30 June 1830-2030,,,,,
"Thu 1…""",Mon Jun 28 07:52:43 +0000 2021,"Rother, East Sussex",-0.1,0.15,Negative
Just finished a call with a woman reporting 26 yo man two months after Pfizer injection. Didn't wake up in the morning.…,Mon Jun 28 07:52:44 +0000 2021,Hampshire,0.0,0.0,Neutral
There are walk-ins for Pfizer and AZ vaccines happening in Kent and Medway today and over the weekend. Grabajab and let’s ge…,Fri Jul 02 08:13:57 +0000 2021,Sussex and Kent & Medway,0.0,0.0,Neutral
The French public health authority has released a vaccine efficacy study showing 28.5% effectiveness from one dose of Pfi…,Fri Jul 02 08:14:11 +0000 2021,United Kingdom,0.0,0.03333333333333333,Neutral
"Brilliant to see open access and walk-ins becoming the default for sites in Hackney, so important for those that face b…",Fri Jul 02 08:14:12 +0000 2021,"City of London, London",0.4375,0.8375,Positive
"READ Three vaccination sites are running 'drop-in' Pfizer clinics across this weekend in the Gloucester, Stroud and Cirencest…",Fri Jul 02 08:14:14 +0000 2021,United Kingdom,0.0,0.0,Neutral
"However, the one curious aspect of Jane Norman’s tweets, which you can see below, is that she didn’t share the…",Fri Jul 02 08:14:20 +0000 2021,"Sydney, New South Wales",-0.1,1.0,Negative
Ten days ago Israel sent 90k doses of the Pfizer 'vaccine' to the Palestinian Authority. The PA rejected as they were about…,Fri Jul 02 08:14:20 +0000 2021,"North Notts, UK",0.0,0.0,Neutral
"They will have to build additional docks in every court house across the world, to prosecute all those that are guilty of c…",Fri Jul 02 09:22:08 +0000 2021,London,-0.5,1.0,Negative
