text,date,location,polarity,subjectivity,classification
"…""",Thu Jul 01 10:23:51 +0000 2021,"Lagos, Nigeria",0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:23:52 +0000 2021,Somebody,0.6,0.9,Positive
Important info for those aged 18-34 🛑,,,,,
"From Monday 5th July those aged 18-34 will be able to seek access for a Jans…""",Fri Jul 02 08:45:27 +0000 2021,Cork,0.17500000000000002,0.60625,Positive
"In mid July, subject to supplies those aged 18-34 will be able to register for an AstraZeneca or Janssen vaccine fr…",Fri Jul 02 08:45:27 +0000 2021,Cork,0.058333333333333334,0.33958333333333335,Positive
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 08:45:32 +0000 2021,The Kitchen,0.375,0.875,Positive
⚡️ Pharmacies can begin issuing Janssen vaccines to 18-34 year olds from Monday.,,,,,
" on Morning Ireland""",Fri Jul 02 08:45:33 +0000 2021,dublin/donegal,0.0,0.0,Neutral
💉 And then from Monday the 12th,,,,,
"18-34 year olds can register online and opt in if they’d like to get an AstraZeneca or…""",Fri Jul 02 08:45:36 +0000 2021,dublin/donegal,0.0,0.0,Neutral
BREAKING Vaccine rollout being accelerated to 18-34s from MONDAY,,,,,
"- They can book a single-dose Janssen (J&amp;J) vac…""",Fri Jul 02 08:45:41 +0000 2021,"Meath, Ireland",0.0,0.0,Neutral
Significant progress announced this morning that pharmacy will be able to vaccinate 18-49 with Janssen from Monday. Great…,Fri Jul 02 08:45:42 +0000 2021,Ireland,0.4375,0.75,Positive
"💉 Community pharmacies can begin issuing Janssen vaccines to 18-34-year-olds from MONDAY,  tells …",Fri Jul 02 08:45:49 +0000 2021,🇮🇪,0.0,0.0,Neutral
". From next Monday, people aged 18-34 can register with pharmacies to opt-in for the Janssen single-dose vaccine.",Fri Jul 02 08:45:51 +0000 2021,Dublin,-0.05,0.2,Negative
"💉 Community pharmacies can begin issuing Janssen vaccines to 18-34-year-olds from MONDAY,  tells …",Fri Jul 02 08:45:53 +0000 2021,Sandycove - Dublin - Ireland,0.0,0.0,Neutral
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 08:37:27 +0000 2021,"Dublin City, Ireland",0.375,0.875,Positive
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 08:37:29 +0000 2021,Ireland,0.375,0.875,Positive
"On the following week, subject to supplies those aged 18-34 will be able to register for an AstraZeneca or Janssen…",Fri Jul 02 08:37:29 +0000 2021,Cork,0.058333333333333334,0.36458333333333337,Positive
". From next Monday, people aged 18-34 can register with pharmacies to opt-in for the Janssen single-dose vaccine.",Fri Jul 02 08:37:34 +0000 2021,Baile Átha Cliath💙,-0.05,0.2,Negative
All the Cork pharmacies giving single-shot Janssen vaccines to over-18s from Monday,Fri Jul 02 08:37:39 +0000 2021,Ireland,0.0,0.0,Neutral
I never thought a Friday highlight would be the potential to go to the pharmacy in the near future Janssen 💉,Fri Jul 02 08:37:47 +0000 2021,"Dublin, Ireland",0.03333333333333333,0.5083333333333333,Positive
ℹ️💉 Here are the pharmacies currently stocking the Janssen vaccine - though you may want to check if they’ll take appointmen…,Fri Jul 02 08:37:48 +0000 2021,Ireland,0.0,0.4,Neutral
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 08:37:48 +0000 2021,"Dublin, Ireland",0.375,0.875,Positive
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 08:37:51 +0000 2021,"Galway, Ireland",0.375,0.875,Positive
"Good morning,",,,,,
I sell Jerseys of all clubs with free customization of 5 letters at ₦5000,,,,,
Send a dm to order,,,,,
"☎️ 08067171…""",Thu Jul 01 10:11:45 +0000 2021,With you,0.55,0.7000000000000001,Positive
"Good morning,",,,,,
I sell Jerseys of all clubs with free customization of 5 letters at ₦5000,,,,,
Send a dm to order,,,,,
"☎️ 08067171…""",Thu Jul 01 10:11:56 +0000 2021,Somebody,0.55,0.7000000000000001,Positive
The latest data shows over three quarters of vaccine doses so far administered in Ireland ( 75.8%)  are the mRNA va…,Thu Jul 01 10:11:56 +0000 2021,Ireland,0.3,0.95,Positive
"Good morning,",,,,,
I sell Jerseys of all clubs with free customization of 5 letters at ₦5000,,,,,
Send a dm to order,,,,,
"☎️ 08067171…""",Thu Jul 01 10:11:58 +0000 2021,"Durban, South Africa",0.55,0.7000000000000001,Positive
"Good morning,",,,,,
I sell Jerseys of all clubs with free customization of 5 letters at ₦5000,,,,,
Send a dm to order,,,,,
"☎️ 08067171…""",Thu Jul 01 10:11:58 +0000 2021,Anywhere you think i am,0.55,0.7000000000000001,Positive
"Good morning,",,,,,
I sell Jerseys of all clubs with free customization of 5 letters at ₦5000,,,,,
Send a dm to order,,,,,
"☎️ 08067171…""",Thu Jul 01 10:12:03 +0000 2021,Abuja,0.55,0.7000000000000001,Positive
"Good morning,",,,,,
I sell Jerseys of all clubs with free customization of 5 letters at ₦5000,,,,,
Send a dm to order,,,,,
"☎️ 08067171…""",Thu Jul 01 10:12:05 +0000 2021,PainVille,0.55,0.7000000000000001,Positive
"Good morning,",,,,,
I sell Jerseys of all clubs with free customization of 5 letters at ₦5000,,,,,
Send a dm to order,,,,,
"☎️ 08067171…""",Thu Jul 01 10:12:06 +0000 2021,Your Earphones,0.55,0.7000000000000001,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:31:59 +0000 2021,"Lagos, Nigeria",0.6,0.9,Positive
-Experts say Janssen vaccine starts work after several weeks,,,,,
-Then 66% effective at stopping infection,,,,,
"-Dutch health minist…""",Thu Jul 01 10:32:05 +0000 2021,The Netherlands,0.3,0.4,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:32:08 +0000 2021,Trenches,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:32:13 +0000 2021,"Seguku - Kampala, Uganda",0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:32:14 +0000 2021,Anywhere you think i am,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:32:23 +0000 2021,With you,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:32:24 +0000 2021,Singapore,0.6,0.9,Positive
7. Next essential worker groups to get vaccinated ,,,,,
1. SAPS (this will start on 5 July),,,,,
2. SANDF (no date yet),,,,,
"All essential…""",Fri Jul 02 07:58:56 +0000 2021,"Cape Town, South Africa",0.0,0.15,Neutral
"J&amp;J puts out real-world data on their vaccine. As suspected from phase I/II clinical trial data &amp; phase 3, good activity…",Fri Jul 02 07:59:01 +0000 2021,Back in France,0.7,0.6000000000000001,Positive
"💉 Community pharmacies can begin issuing Janssen vaccines to 18-34-year-olds from MONDAY,  tells …",Fri Jul 02 07:59:09 +0000 2021,Ireland,0.0,0.0,Neutral
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 07:59:12 +0000 2021,"Clare, Ireland",0.375,0.875,Positive
Happy Friday besties 💅🏻,Fri Jul 02 07:59:12 +0000 2021,"Leitrim, Ireland",0.8,1.0,Positive
ℹ️💉 Here are the pharmacies currently stocking the Janssen vaccine - though you may want to check if they’ll take appointmen…,Fri Jul 02 07:59:13 +0000 2021,"Dublin, Ireland",0.0,0.4,Neutral
"💉 Community pharmacies can begin issuing Janssen vaccines to 18-34-year-olds from MONDAY,  tells …",Fri Jul 02 07:59:14 +0000 2021,"Dublin City, Ireland",0.0,0.0,Neutral
Data from laboratory studies show Johnson &amp; Johnson's (JNJ.N) COVID-19 vaccine works well against the Delta variant tha…,Fri Jul 02 07:59:16 +0000 2021,Zambia,0.0,0.0,Neutral
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:31:36 +0000 2021,"Mumbai, India",0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:31:36 +0000 2021,Dm for promo,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:31:43 +0000 2021,Lagos or somewhere,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:31:45 +0000 2021,"Abuja, Nigeria",0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:31:49 +0000 2021,Follow Me,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:31:54 +0000 2021,Nigeria,0.6,0.9,Positive
Good Delta news from one jab J&amp;J!,Fri Jul 02 12:07:28 +0000 2021,"Laois, Ireland",0.875,0.6000000000000001,Positive
"Are you aged between 18-34 and gasping for a pint and a shift? If so, register for Janssen on Monday",Fri Jul 02 12:07:29 +0000 2021,"cork,ireland",-0.1,0.4,Negative
"Johnson &amp; Johnson reported yesterday that their vaccine is effective against the Delta variant, even eight months after in…",Fri Jul 02 12:07:42 +0000 2021,"Dublin City, Ireland",0.6,0.8,Positive
"Johnson &amp; Johnson reported yesterday that their vaccine is effective against the Delta variant, even eight months after in…",Fri Jul 02 12:07:43 +0000 2021,"Dublin,Ireland",0.6,0.8,Positive
"Johnson &amp; Johnson reported yesterday that their vaccine is effective against the Delta variant, even eight months after in…",Fri Jul 02 12:07:44 +0000 2021,Cork,0.6,0.8,Positive
"Johnson &amp; Johnson reported yesterday that their vaccine is effective against the Delta variant, even eight months after in…",Fri Jul 02 12:07:47 +0000 2021,An Bhruiséil,0.6,0.8,Positive
"Johnson &amp; Johnson reported yesterday that their vaccine is effective against the Delta variant, even eight months after in…",Fri Jul 02 12:07:47 +0000 2021,"London, England",0.6,0.8,Positive
Good morning!!! 🌞,Fri Jul 02 07:54:57 +0000 2021,"Wexford, Ireland",1.0,0.6000000000000001,Positive
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 07:55:01 +0000 2021,Corcaigh 🛫 Béal Feirste,0.375,0.875,Positive
"💉 Community pharmacies can begin issuing Janssen vaccines to 18-34-year-olds from MONDAY,  tells …",Fri Jul 02 07:55:02 +0000 2021,"Meath, Ireland",0.0,0.0,Neutral
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 07:55:02 +0000 2021,"Kildare home, Dublin work.",0.375,0.875,Positive
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 07:55:14 +0000 2021,"Dublin City, Ireland",0.375,0.875,Positive
People aged between 18 and 34 will be able to register to receive a Janssen COVID19 vaccine in pharmacies from Monday. …,Fri Jul 02 07:55:17 +0000 2021,Ireland,0.2,0.5125,Positive
What the fuck is a Janssen vaccine ,,,,,
"Obviously am eligible for the one I've never heard of this ends well""",Fri Jul 02 07:55:18 +0000 2021,folston prison,-0.2,0.55,Negative
Disgusting flattenthedail dublinprotest disbandNphet,Fri Jul 02 12:00:40 +0000 2021,"Dublin City, Ireland",-1.0,1.0,Negative
Oh ready (ah pronto),Fri Jul 02 12:00:43 +0000 2021,Brasil,0.2,0.5,Positive
🚨Three Portarlington pharmacies are now listed on the HSE website offering the Janssen single-dose COVID-19 vaccine to peo…,Fri Jul 02 12:00:44 +0000 2021,"Portarlington, Co Laois",0.0,0.0,Neutral
Figure 2 of $JNJ Variant coverage preprint -reaction reduced in all - on a whopping 8 blood samples  - was this a s…,Fri Jul 02 12:00:44 +0000 2021,"Beaver Creek, Co.",0.0,0.0,Neutral
"‘Comparative Torts Discussion around Markesinis’s German Law of Torts by BS Markesinis, J Bell and A Janssen – Repo",Fri Jul 02 12:00:45 +0000 2021,"Cork, Ireland",0.0,0.0,Neutral
People aged 18 to 34 can get a Janssen single-dose COVID-19 vaccine in a pharmacy from Monday 5 July. For more information and…,Fri Jul 02 12:00:48 +0000 2021,"Dublin & Galway, Ireland",0.2,0.45,Positive
Fun fact Missy’s has said many times that she had to learn this poem on the fly. No preparation or anything.,,,,,
"Many women…""",Fri Jul 02 12:00:52 +0000 2021,"America, Anytown, U.S.A",0.525,0.525,Positive
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 08:03:30 +0000 2021,Dublin,0.375,0.875,Positive
"Johnson &amp; Johnson (JNJ.N) said late Thursday that its single-shot COVID-19 vaccine generated strong, persistent activit…",Fri Jul 02 08:03:31 +0000 2021,"Jeffreys Bay, South Africa",0.06666666666666665,0.6666666666666666,Positive
⚡️ Pharmacies can begin issuing Janssen vaccines to 18-34 year olds from Monday.,,,,,
" on Morning Ireland""",Fri Jul 02 08:03:32 +0000 2021,ZZ 9 plural Z alpha,0.0,0.0,Neutral
Me calling every boots I pharmacy I live near asking for a vaccine,Fri Jul 02 08:03:36 +0000 2021,Cork / Corcaigh,0.11818181818181818,0.45,Positive
Great news - I don’t think gov are as much of a shambles as some but a good demonstration of why they’re not enjoying public…,Fri Jul 02 08:03:44 +0000 2021,"Dublin City, Ireland",0.3625,0.5375,Positive
"J&amp;J puts out real-world data on their vaccine. As suspected from phase I/II clinical trial data &amp; phase 3, good activity…",Fri Jul 02 08:03:50 +0000 2021,"Rustenburg, South Africa",0.7,0.6000000000000001,Positive
⚠️Vaccine update for 18-34 year olds,,,,,
- From Monday 5th July you can get a Janssen vaccine in a pharmacy,,,,,
"- From Monday 12th…""",Fri Jul 02 08:38:56 +0000 2021,Baile Átha Cliath,0.0,0.0,Neutral
"Just rang the local pharmacy and, to absolutely no surprise, Egghead went and announced this without informing the…",Fri Jul 02 08:38:58 +0000 2021,"Ratoath, Meath",-0.05,0.45,Negative
Great to see the government take on  suggestion to give 18-35 year old Janssen vaccines through pharmacies ,,,,,
"Fr…""",Fri Jul 02 08:38:59 +0000 2021,"Kildare, Ireland",0.45,0.475,Positive
ℹ️💉 Here are the pharmacies currently stocking the Janssen vaccine - though you may want to check if they’ll take appointmen…,Fri Jul 02 08:39:02 +0000 2021,"Longford, Ireland.",0.0,0.4,Neutral
Great to see the government take on  suggestion to give 18-35 year old Janssen vaccines through pharmacies ,,,,,
"Fr…""",Fri Jul 02 08:39:05 +0000 2021,"Dublin, Ireland",0.45,0.475,Positive
Minister  gives people aged 18-34 the option of getting a single-shot Janssen (J&amp;J) vaccine at a local phar…,Fri Jul 02 08:39:13 +0000 2021,Wicklow-Wexford border,-0.05,0.2,Negative
Hugely welcome and significant departure.,Fri Jul 02 12:06:59 +0000 2021,"Fumbally Square, Dublin 8, DO8 XYA5",0.5875,0.8875,Positive
"Johnson &amp; Johnson reported yesterday that their vaccine is effective against the Delta variant, even eight months after in…",Fri Jul 02 12:07:04 +0000 2021,"South Dublin, Ireland",0.6,0.8,Positive
"Stocks making the biggest moves in the premarket , ,  &amp; more…",Fri Jul 02 12:07:08 +0000 2021,"Atlanta, GA",0.0,0.0,Neutral
"Johnson &amp; Johnson reported yesterday that their vaccine is effective against the Delta variant, even eight months after in…",Fri Jul 02 12:07:09 +0000 2021,"Dublin, Ireland",0.6,0.8,Positive
Great news!,Fri Jul 02 12:07:12 +0000 2021,Dublin,1.0,0.75,Positive
"Johnson &amp; Johnson reported yesterday that their vaccine is effective against the Delta variant, even eight months after in…",Fri Jul 02 12:07:22 +0000 2021,"Leeds, Leeds, Leeds.",0.6,0.8,Positive
"Johnson &amp; Johnson reported yesterday that their vaccine is effective against the Delta variant, even eight months after in…",Fri Jul 02 12:07:24 +0000 2021,"Donegal, Ireland",0.6,0.8,Positive
this is not the kind of attention i wanted for him... i just hope he doesn't too stressed or pressured by all of th…,Mon Jun 28 13:20:15 +0000 2021,she/her ; 28,0.6,0.9,Positive
A Peek Into The Markets US Stock Futures Mixed; Crude Oil Edges Lower $AAPL $JNJ $LIVX  premarket より,Mon Jun 28 13:20:23 +0000 2021,Chiba　Japan,-0.35,0.625,Negative
Health Authorities Comment On INFINITE Sunggyu’s COVID-19 Case Being The First Janssen Breakthrough Infection In Korea,Mon Jun 28 13:20:24 +0000 2021,she/her,0.25,0.3333333333333333,Positive
ppl who make jokes about ifnt being trendsetters in the qrts need help. like seriously yall need help.,Mon Jun 28 13:20:30 +0000 2021,Ifnt✨Kyungsoo✨Rosé✨Marvel✨,-0.3333333333333333,0.6666666666666666,Negative
That’s an absolute top 3 for all JnJ fans 🔥,,,,,
"“No body’s going to love you the way I love you.”""",Mon Jun 28 13:20:43 +0000 2021,𝑊𝑖𝑠𝑐𝑜𝑛𝑠𝑖𝑛,0.425,0.65,Positive
$JNJ - Gates med research CEO transitioning to head vaccines at J&amp;J - Endpoints,Mon Jun 28 13:20:45 +0000 2021,USA,0.0,0.0,Neutral
"Was going to do the J&amp;J news later, as it's actually the same info I presented yesterday, but need to correct some mistake…",Fri Jul 02 08:46:29 +0000 2021,italy,0.0,0.075,Neutral
Boots in Mullingar are vaccinating people. I believe they will have a portal available online to book appointments…,Fri Jul 02 08:46:30 +0000 2021,"Westmeath, Ireland",0.4,0.4,Positive
Looking forward!!!,Fri Jul 02 08:46:32 +0000 2021,"Cork, Ireland",0.0,0.0,Neutral
All the Cork pharmacies giving single-shot Janssen vaccines to over-18s from Monday,Fri Jul 02 08:46:37 +0000 2021,"Cork, Ireland",0.0,0.0,Neutral
⚡️ Pharmacies can begin issuing Janssen vaccines to 18-34 year olds from Monday.,,,,,
" on Morning Ireland""",Fri Jul 02 08:46:43 +0000 2021,"Fingal, Ireland",0.0,0.0,Neutral
what if we kissed in the vaccination centre x,Fri Jul 02 08:46:44 +0000 2021,"cork, ireland | she/her | 20",0.0,0.0,Neutral
We wouldn’t be in such a mess if pharmacies had been allowed to give vaccinations from the start of Covid.,Fri Jul 02 08:46:46 +0000 2021,"Louth, Ireland",-0.0875,0.3375,Negative
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:32:25 +0000 2021,No where but Somewhere,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:32:26 +0000 2021,Right next to you,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:32:38 +0000 2021,"Lagos, Nigeria",0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:32:52 +0000 2021,PainVille,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:32:54 +0000 2021,relatable tweets 5k?,0.6,0.9,Positive
ℹ️💉 Here are the pharmacies currently stocking the Janssen vaccine - though you may want to check if they’ll take appointmen…,Fri Jul 02 07:55:56 +0000 2021,Mayo Ireland,0.0,0.4,Neutral
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 07:55:57 +0000 2021,"Wexford, Ireland",0.375,0.875,Positive
ℹ️💉 Here are the pharmacies currently stocking the Janssen vaccine - though you may want to check if they’ll take appointmen…,Fri Jul 02 07:56:02 +0000 2021,"Dublin City, Ireland",0.0,0.4,Neutral
"Acting Minister of Health, Mmamoloko Kubayi on COVID19 vaccine deliveries ",,,,,
1. We're expecting 2.1 Pfizer doses in July,,,,,
"2.…""",Fri Jul 02 07:56:04 +0000 2021,"Rustenburg, South Africa",0.0,0.0,Neutral
